long;lat;nro_registro;tipo_activ;comuna;manzana;calle_nombre;calle_altura;calle_chapa;direccion_normalizada;ubicacion;nombre_cientifico;ancho_acera;estado_plantera;ubicacion_plantera;nivel_plantera;diametro_altura_pecho;altura_arbol;geometry;index_right;BARRIO;COMUNA
;;62834;Lineal;1;;Saenz Peña Roque,Pres. Diagonal Norte Av. ;1000.0;1007.0;;LA;Fraxinus pennsylvanica;2.8;Ocupada;Regular;A nivel;15.0;5.0;;;;
;;62836;Lineal;1;;Saenz Peña Roque,Pres. Diagonal Norte Av. ;1000.0;1007.0;;LA;Fraxinus pennsylvanica;2.8;Ocupada;Regular;A nivel;32.0;7.0;;;;
;;62839;Lineal;1;;Saenz Peña Roque,Pres. Diagonal Norte Av. ;1000.0;1007.0;;LD;Fraxinus pennsylvanica;;Ocupada;Regular;A nivel;22.0;7.0;;;;
;;63359;Lineal;1;;Antártida Argentina Av.;800.0;800.0;;LA;Ulmus pumila;2.8;Ocupada;Regular;A nivel;67.0;8.0;;;;
;;63396;Lineal;1;;Antártida Argentina Av.;800.0;800.0;;LA;Ulmus pumila;2.8;Ocupada;Regular;A nivel;73.0;10.0;;;;
;;63397;Lineal;1;;Antártida Argentina Av.;800.0;800.0;;LA;Ulmus pumila;2.8;Ocupada;Regular;A nivel;53.0;7.0;;;;
;;63398;Lineal;1;;Antártida Argentina Av.;800.0;800.0;;LA;Ulmus pumila;2.8;Ocupada;Regular;A nivel;61.0;8.0;;;;
;;63399;Lineal;1;;Antártida Argentina Av.;800.0;800.0;;LA;Ulmus pumila;2.8;Ocupada;Regular;A nivel;72.0;10.0;;;;
;;63400;Lineal;1;;Antártida Argentina Av.;800.0;800.0;;LA;Tilia x moltkei;2.8;Ocupada;Regular;A nivel;17.0;5.0;;;;
;;62621;Lineal;1;;Córdoba Av.;;;CORDOBA AV.;;Ceiba speciosa;;Ocupada;Regular;A nivel;64.0;9.0;;;;
