long;lat;nro_registro;tipo_activ;comuna;manzana;calle_nombre;calle_altura;calle_chapa;direccion_normalizada;ubicacion;nombre_cientifico;ancho_acera;estado_plantera;ubicacion_plantera;nivel_plantera;diametro_altura_pecho;altura_arbol;geometry;index_right;BARRIO;COMUNA
;;505927;Lineal;4;523;Rico Cnel.;700;700;;LA16;Prunus cerasifera f. atropurpurea;1.2;Ocupada;Regular;Elevada;10.0;5.0;;;;
;;505928;Lineal;4;523;Rico Cnel.;700;700;;LA17;Prunus cerasifera f. atropurpurea;1.2;Ocupada;Regular;Elevada;12.0;6.0;;;;
;;505931;Lineal;4;523;Rico Cnel.;700;700;;LA20;Prunus cerasifera f. atropurpurea;1.2;Ocupada;Regular;Elevada;14.0;6.0;;;;
;;505933;Lineal;4;523;Rico Cnel.;700;700;;LA22;Prunus cerasifera f. atropurpurea;1.2;Ocupada;Regular;Elevada;12.0;5.0;;;;
;;505934;Lineal;4;523;Rico Cnel.;700;700;;LA23;Prunus cerasifera f. atropurpurea;1.2;Ocupada;Regular;Elevada;10.0;4.0;;;;
;;505936;Lineal;4;523;Rico Cnel.;700;700;;LA25;Prunus cerasifera f. atropurpurea;1.2;Ocupada;Regular;Elevada;9.0;5.0;;;;
;;505937;Lineal;4;523;Rico Cnel.;700;700;;LA26;Prunus cerasifera f. atropurpurea;1.2;Ocupada;Regular;Elevada;9.0;2.0;;;;
;;505938;Lineal;4;523;Rico Cnel.;700;700;;LA27;Prunus cerasifera f. atropurpurea;1.2;Ocupada;Regular;Elevada;17.0;5.0;;;;
;;505941;Lineal;4;523;Rico Cnel.;700;700;;LA30;Prunus cerasifera f. atropurpurea;1.2;Ocupada;Regular;Elevada;15.0;6.0;;;;
;;505943;Lineal;4;523;Rico Cnel.;700;700;;LA32;Populus deltoides;1.2;Ocupada;Fuera de línea;A Nivel;30.0;13.0;;;;
;;505944;Lineal;4;523;Rico Cnel.;700;700;;LA33;Populus deltoides;1.2;Ocupada;Regular;A Nivel;24.0;13.0;;;;
;;505945;Lineal;4;523;Rico Cnel.;700;700;;LA34;Populus deltoides;1.2;Ocupada;Regular;A Nivel;48.0;13.0;;;;
;;506007;Lineal;4;525;Pinedo;800;800;;LD1;Fraxinus pennsylvanica;2.4;Ocupada;Regular;A Nivel;35.0;9.0;;;;
;;506008;Lineal;4;525;Pinedo;800;800;;LD2;Fraxinus pennsylvanica;2.4;Ocupada;Regular;A Nivel;30.0;6.0;;;;
;;506009;Lineal;4;525;Pinedo;800;800;;LD3;Fraxinus pennsylvanica;2.4;Ocupada;Regular;A Nivel;22.0;5.0;;;;
;;506010;Lineal;4;525;Pinedo;800;800;;LD4;Fraxinus pennsylvanica;2.4;Ocupada;Regular;A Nivel;37.0;9.0;;;;
;;506011;Lineal;4;525;Pinedo;800;800;;LD5;Fraxinus pennsylvanica;2.4;Ocupada;Regular;A Nivel;29.0;9.0;;;;
;;506012;Lineal;4;525;Pinedo;800;800;;LD6;Fraxinus pennsylvanica;2.4;Ocupada;Regular;A Nivel;33.0;8.0;;;;
;;506013;Lineal;4;525;Pinedo;800;800;;LD7;Fraxinus pennsylvanica;2.4;Ocupada;Regular;A Nivel;22.0;6.0;;;;
;;506014;Lineal;4;525;Pinedo;800;800;;LD8;Fraxinus pennsylvanica;2.4;Ocupada;Regular;A Nivel;38.0;8.0;;;;
;;506015;Lineal;4;525;Pinedo;800;800;;LD9;Fraxinus pennsylvanica;2.4;Ocupada;Regular;A Nivel;22.0;6.0;;;;
;;506016;Lineal;4;525;Pinedo;800;800;;LD10;Fraxinus pennsylvanica;2.4;Ocupada;Regular;A Nivel;62.0;10.0;;;;
;;506017;Lineal;4;525;Pinedo;800;800;;LD11;Fraxinus pennsylvanica;2.4;Ocupada;Regular;A Nivel;31.0;6.0;;;;
;;506018;Lineal;4;525;Pinedo;800;800;;LD12;Fraxinus pennsylvanica;2.4;Ocupada;Regular;A Nivel;27.0;5.0;;;;
;;506019;Lineal;4;525;Pinedo;800;800;;LD13;Fraxinus pennsylvanica;2.4;Ocupada;Regular;A Nivel;19.0;5.0;;;;
;;506020;Lineal;4;525;Pinedo;800;800;;LD14;Fraxinus pennsylvanica;2.4;Ocupada;Regular;A Nivel;30.0;6.0;;;;
;;506021;Lineal;4;525;Pinedo;800;800;;LD15;Fraxinus pennsylvanica;2.4;Ocupada;Regular;A Nivel;25.0;6.0;;;;
;;506022;Lineal;4;525;Pinedo;800;800;;LD16;Fraxinus pennsylvanica;2.4;Ocupada;Regular;A Nivel;24.0;5.0;;;;
;;506023;Lineal;4;525;Pinedo;800;800;;LD17;Fraxinus pennsylvanica;2.4;Ocupada;Regular;A Nivel;32.0;7.0;;;;
;;506024;Lineal;4;525;Pinedo;800;800;;LD18;Fraxinus pennsylvanica;2.4;Ocupada;Regular;A Nivel;24.0;6.0;;;;
;;506025;Lineal;4;525;Pinedo;800;800;;LD19;Fraxinus pennsylvanica;2.4;Ocupada;Regular;A Nivel;25.0;6.0;;;;
;;506026;Lineal;4;525;Pinedo;800;800;;LD20;Fraxinus pennsylvanica;2.4;Ocupada;Regular;A Nivel;23.0;6.0;;;;
;;506027;Lineal;4;525;Pinedo;800;800;;LD21;Fraxinus pennsylvanica;2.4;Ocupada;Regular;A Nivel;27.0;4.0;;;;
;;506028;Lineal;4;525;Pinedo;800;800;;LD22;Fraxinus pennsylvanica;2.4;Ocupada;Regular;A Nivel;61.0;11.0;;;;
;;506029;Lineal;4;525;Pinedo;800;800;;LD23;Fraxinus pennsylvanica;2.4;Ocupada;Regular;A Nivel;19.0;6.0;;;;
;;506030;Lineal;4;525;Pinedo;800;800;;LD24;Fraxinus pennsylvanica;2.4;Ocupada;Regular;A Nivel;22.0;6.0;;;;
;;506031;Lineal;4;525;Pinedo;800;800;;LD25;Fraxinus pennsylvanica;2.4;Ocupada;Regular;A Nivel;18.0;6.0;;;;
;;506032;Lineal;4;525;Pinedo;800;800;;LD26;Fraxinus pennsylvanica;2.4;Ocupada;Regular;A Nivel;23.0;7.0;;;;
;;506033;Lineal;4;525;Pinedo;800;800;;LD27;Fraxinus pennsylvanica;2.4;Ocupada;Regular;A Nivel;45.0;8.0;;;;
;;506034;Lineal;4;525;Pinedo;800;800;;LD28;Fraxinus pennsylvanica;2.4;Ocupada;Regular;A Nivel;24.0;6.0;;;;
;;506625;Lineal;4;541;Luján Pedro de;2200;2200;;Exacta;Fraxinus pennsylvanica;2.4;Ocupada;Fuera de línea;A Nivel;23.0;8.0;;;;
;;506626;Lineal;4;541;Luján Pedro de;2200;2200;;LD1;Fraxinus pennsylvanica;2.4;Ocupada;Fuera de línea;A Nivel;24.0;8.0;;;;
;;506627;Lineal;4;541;Luján Pedro de;2200;2200;;LD2;Fraxinus pennsylvanica;2.4;Ocupada;Regular;A Nivel;22.0;8.0;;;;
;;506628;Lineal;4;541;Luján Pedro de;2200;2200;;LD3;Fraxinus pennsylvanica;2.4;Ocupada;Fuera de línea;A Nivel;21.0;8.0;;;;
;;506629;Lineal;4;541;Luján Pedro de;2200;2102;;Exacta;Fraxinus pennsylvanica;2.4;Ocupada;Fuera de línea;A Nivel;22.0;8.0;;;;
;;506630;Lineal;4;541;Luján Pedro de;2200;2102;;LD1;Fraxinus pennsylvanica;2.4;Ocupada;Regular;A Nivel;23.0;8.0;;;;
;;506675;Lineal;4;542;Luján Pedro de;2200;2207;;LD;Fraxinus pennsylvanica;2;Ocupada;Regular;A Nivel;22.0;7.0;;;;
;;506676;Lineal;4;542;Luján Pedro de;2200;2263;;EX;Fraxinus pennsylvanica;2;Ocupada;Regular;A Nivel;24.0;8.0;;;;
;;506677;Lineal;4;542;Luján Pedro de;2200;2287;;EX;Ligustrum lucidum f. aureovariegata;2;Parcialmente cerrada;Regular;A Nivel;13.0;5.0;;;;
;;506804;Lineal;4;575;Cortejarena José A. ;1900;611;;LD1;Fraxinus pennsylvanica;3.2;Ocupada;Fuera de línea;A Nivel;27.0;8.0;;;;
;;506831;Lineal;4;575;Mirave;2800;2589;;Exacta;Ailanthus altissima;3;Ocupada;Regular;A Nivel;21.0;12.0;;;;
;;506978;Lineal;4;583;Aráoz De Lamadrid Gregorio Gral.;2750;2750;;LD 3;Fraxinus pennsylvanica;3.2;Ocupada;Regular;A Nivel;32.0;8.0;;;;
;;506979;Lineal;4;583;Aráoz De Lamadrid Gregorio Gral.;2750;2750;;LD 4;Fraxinus pennsylvanica;3.2;Ocupada;Regular;A Nivel;31.0;6.0;;;;
;;506980;Lineal;4;583;Aráoz De Lamadrid Gregorio Gral.;2750;2750;;LD 5;Persea americana;3.2;Sobreocupada;Regular;A Nivel;2.0;2.0;;;;
;;506981;Lineal;4;583;Aráoz De Lamadrid Gregorio Gral.;2750;2750;;LD 6;Fraxinus pennsylvanica;3.2;Ocupada;Regular;A Nivel;30.0;10.0;;;;
;;506982;Lineal;4;583;Aráoz De Lamadrid Gregorio Gral.;2750;2750;;LD 7;Fraxinus pennsylvanica;3.2;Ocupada;Regular;A Nivel;24.0;9.0;;;;
;;506983;Lineal;4;583;Aráoz De Lamadrid Gregorio Gral.;2750;2750;;LD 8;Fraxinus pennsylvanica;3.2;Ocupada;Regular;A Nivel;44.0;8.0;;;;
;;506984;Lineal;4;583;Aráoz De Lamadrid Gregorio Gral.;2750;2750;;LD 9;Fraxinus pennsylvanica;3.2;Ocupada;Regular;A Nivel;27.0;8.0;;;;
;;506985;Lineal;4;583;Aráoz De Lamadrid Gregorio Gral.;2750;2750;;LD 10;Fraxinus pennsylvanica;3.2;Ocupada;Regular;A Nivel;53.0;9.0;;;;
;;506988;Lineal;4;583;Aráoz De Lamadrid Gregorio Gral.;2750;2750;;LD 13;Fraxinus pennsylvanica;3.2;Ocupada;Regular;A Nivel;56.0;10.0;;;;
;;506989;Lineal;4;583;Aráoz De Lamadrid Gregorio Gral.;2750;2750;;LD 14;Fraxinus pennsylvanica;3.2;Ocupada;Regular;A Nivel;33.0;9.0;;;;
;;506990;Lineal;4;583;Aráoz De Lamadrid Gregorio Gral.;2750;2750;;LD 15;Fraxinus pennsylvanica;3.2;Ocupada;Regular;A Nivel;32.0;8.0;;;;
;;506991;Lineal;4;583;Aráoz De Lamadrid Gregorio Gral.;2750;2750;;LD 16;Fraxinus pennsylvanica;3.2;Ocupada;Regular;A Nivel;39.0;8.0;;;;
;;506992;Lineal;4;583;Aráoz De Lamadrid Gregorio Gral.;2750;2750;;LD 17;Fraxinus pennsylvanica;3.2;Ocupada;Regular;A Nivel;26.0;7.0;;;;
;;506993;Lineal;4;583;Aráoz De Lamadrid Gregorio Gral.;2750;2750;;LD 18;Fraxinus pennsylvanica;3.2;Ocupada;Regular;A Nivel;32.0;8.0;;;;
;;506994;Lineal;4;583;Aráoz De Lamadrid Gregorio Gral.;2750;2750;;LD 19;Fraxinus pennsylvanica;3.2;Ocupada;Regular;A Nivel;33.0;8.0;;;;
;;506995;Lineal;4;583;Aráoz De Lamadrid Gregorio Gral.;2750;2750;;LD 20;Melia azedarach;3.2;Ocupada;Regular;A Nivel;16.0;4.0;;;;
;;506996;Lineal;4;583;Aráoz De Lamadrid Gregorio Gral.;2750;2750;;LD 21;Fraxinus pennsylvanica;3.2;Ocupada;Regular;A Nivel;40.0;10.0;;;;
;;506997;Lineal;4;583;Aráoz De Lamadrid Gregorio Gral.;2750;2750;;LD 22;Fraxinus pennsylvanica;3.2;Ocupada;Regular;A Nivel;59.0;10.0;;;;
;;507015;Lineal;4;584;Aráoz De Lamadrid Gregorio Gral.;2750;2750;;Exacta;Melia azedarach;3.2;Ocupada;Regular;A Nivel;53.0;10.0;;;;
;;507392;Lineal;4;594;Salom;300;286;;Exacta;Fraxinus pennsylvanica;2.8;Ocupada;Regular;A Nivel;15.0;9.0;;;;
;;507394;Lineal;4;594;Salom;300;268;;Exacta;Fraxinus pennsylvanica;2.8;Ocupada;Regular;A Nivel;25.0;10.0;;;;
;;508008;Lineal;4;603c;Vélez Sarsfield Av.;;;VELEZ SARSFIELD AV.;LA1;Fraxinus pennsylvanica;3.8;Ocupada;Ochava;A Nivel;30.0;6.0;;;;
;;508009;Lineal;4;603c;Vélez Sarsfield Av.;;;VELEZ SARSFIELD AV.;LA2;Fraxinus pennsylvanica;3.8;Ocupada;Regular;A Nivel;57.0;9.0;;;;
;;508010;Lineal;4;603c;Vélez Sarsfield Av.;;;VELEZ SARSFIELD AV.;LA3;Fraxinus pennsylvanica;3.8;Ocupada;Regular;A Nivel;20.0;6.0;;;;
;;508011;Lineal;4;603c;Vélez Sarsfield Av.;;;VELEZ SARSFIELD AV.;LA4;Fraxinus pennsylvanica;3.8;Ocupada;Regular;A Nivel;22.0;8.0;;;;
;;508012;Lineal;4;603c;Vélez Sarsfield Av.;;;VELEZ SARSFIELD AV.;LA5;Fraxinus pennsylvanica;3.8;Ocupada;Regular;A Nivel;22.0;8.0;;;;
;;508013;Lineal;4;603c;Vélez Sarsfield Av.;;;VELEZ SARSFIELD AV.;LA6;Fraxinus pennsylvanica;3.8;Ocupada;Regular;A Nivel;24.0;8.0;;;;
;;508014;Lineal;4;603c;Vélez Sarsfield Av.;;;VELEZ SARSFIELD AV.;LA7;Fraxinus pennsylvanica;3.8;Ocupada;Regular;A Nivel;20.0;8.0;;;;
;;508015;Lineal;4;603c;Vélez Sarsfield Av.;;;VELEZ SARSFIELD AV.;LA8;Fraxinus pennsylvanica;3.8;Ocupada;Regular;A Nivel;22.0;8.0;;;;
;;508016;Lineal;4;603c;Vélez Sarsfield Av.;;;VELEZ SARSFIELD AV.;LA9;Fraxinus pennsylvanica;3.8;Ocupada;Regular;A Nivel;18.0;8.0;;;;
;;508017;Lineal;4;603c;Vélez Sarsfield Av.;;;VELEZ SARSFIELD AV.;LA10;Fraxinus pennsylvanica;3.8;Ocupada;Regular;A Nivel;23.0;8.0;;;;
;;508018;Lineal;4;603c;Vélez Sarsfield Av.;;;VELEZ SARSFIELD AV.;LA11;Fraxinus pennsylvanica;3.8;Ocupada;Regular;A Nivel;20.0;6.0;;;;
;;508019;Lineal;4;603c;Vélez Sarsfield Av.;;;VELEZ SARSFIELD AV.;LA12;Fraxinus pennsylvanica;3.8;Ocupada;Regular;A Nivel;0.0;;;;;
;;508020;Lineal;4;603c;Vélez Sarsfield Av.;;;VELEZ SARSFIELD AV.;LA13;Fraxinus pennsylvanica;3.8;Ocupada;Regular;A Nivel;30.0;5.0;;;;
;;508021;Lineal;4;603c;Vélez Sarsfield Av.;;;VELEZ SARSFIELD AV.;LA14;Robinia pseudoacacia v. umbraculifera;3.8;Ocupada;Regular;A Nivel;30.0;5.0;;;;
;;508022;Lineal;4;603c;Vélez Sarsfield Av.;;;VELEZ SARSFIELD AV.;LA15;Fraxinus pennsylvanica;3.8;Ocupada;Regular;A Nivel;31.0;7.0;;;;
;;508023;Lineal;4;603c;Vélez Sarsfield Av.;;;VELEZ SARSFIELD AV.;LA16;Fraxinus pennsylvanica;3.8;Ocupada;Regular;A Nivel;4.0;5.0;;;;
;;508453;Lineal;4;607;California;2600;260;;LD 1;Fraxinus pennsylvanica;2.4;Ocupada;Regular;Elevada;19.0;7.0;;;;
;;509390;Lineal ;4;634;Santo Domingo;634;1684;;LA2;Fraxinus pennsylvanica;1.6;Ocupada;Ochava;A Nivel;23.0;8.0;;;;
;;509391;Lineal ;4;634;Santo Domingo;634;1684;;LA1;Ligustrum lucidum;1.6;Ocupada;Regular;A Nivel;85.0;8.0;;;;
;;509393;Lineal ;4;634;Santo Domingo;634;1684;;LD1;Fraxinus pennsylvanica;1.6;Ocupada;Regular;A Nivel;24.0;16.0;;;;
;;509394;Lineal ;4;634;Santo Domingo;634;1684;;Exacta;Fraxinus pennsylvanica;1.6;Ocupada;Regular;A Nivel;25.0;8.0;;;;
;;509546;Lineal ;4;637a;Mandisobi;2900;2900;;LA1;Callistemon rigidus;4;Ocupada;Regular;A Nivel;7.0;2.0;;;;
;;509547;Lineal ;4;637a;Mandisobi;2900;2900;;LA2;Ficus benjamina;4;Ocupada;Regular;A Nivel;10.0;4.0;;;;
;;509548;Lineal ;4;637a;Mandisobi;2900;2900;;LA3;Ficus elastica;4;Ocupada;Regular;A Nivel;45.0;10.0;;;;
;;509549;Lineal ;4;637a;Mandisobi;2900;2900;;LA4;Acer negundo;4;Ocupada;Regular;A Nivel;18.0;6.0;;;;
;;509735;Lineal;4;641;Luján Pedro de;2900;2985;;LA3;Fraxinus pennsylvanica;2.8;Ocupada;Ochava;A Nivel;28.0;9.0;;;;
;;509736;Lineal;4;641;Luján Pedro de;2900;2985;;LA2;Fraxinus pennsylvanica;2.8;Ocupada;Regular;A Nivel;54.0;10.0;;;;
;;509737;Lineal;4;641;Luján Pedro de;2900;2985;;LA1;Fraxinus pennsylvanica;2.8;Ocupada;Regular;A Nivel;33.0;10.0;;;;
;;509738;Lineal;4;641;Luján Pedro de;2900;2983;;Exacta;Fraxinus pennsylvanica;2.8;Ocupada;Regular;A Nivel;26.0;10.0;;;;
;;509739;Lineal;4;641;Luján Pedro de;2900;2983;;Exacta;Fraxinus pennsylvanica;2.8;Ocupada;Regular;A Nivel;25.0;10.0;;;;
;;509740;Lineal;4;641;Luján Pedro de;2900;2979;;Exacta;Fraxinus pennsylvanica;2.8;Ocupada;Regular;A Nivel;30.0;10.0;;;;
;;509741;Lineal;4;641;Luján Pedro de;2900;2963;;Exacta;Fraxinus pennsylvanica;2.8;Ocupada;Regular;A Nivel;35.0;10.0;;;;
;;509742;Lineal;4;641;Luján Pedro de;2900;2959;;Exacta;Fraxinus pennsylvanica;2.8;Ocupada;Regular;A Nivel;38.0;6.0;;;;
;;509743;Lineal;4;641;Luján Pedro de;2900;2953;;Exacta;Fraxinus pennsylvanica;2.8;Ocupada;Regular;A Nivel;63.0;12.0;;;;
;;509744;Lineal;4;641;Luján Pedro de;2900;2947;;Exacta;No identificado;2.8;Ocupada;Regular;Elevada;28.0;2.0;;;;
;;509745;Lineal;4;641;Luján Pedro de;2900;2941;;Exacta;Fraxinus pennsylvanica;2.8;Ocupada;Regular;A Nivel;53.0;11.0;;;;
;;509746;Lineal;4;641;Luján Pedro de;2900;2935;;Exacta;Tipuana tipu;2.8;Ocupada;Regular;Elevada;31.0;6.0;;;;
;;509747;Lineal;4;641;Luján Pedro de;2900;2919;;Exacta;Casuarina cunninghamiana;2.8;Ocupada;Regular;Elevada;32.0;13.0;;;;
;;509748;Lineal;4;641;Luján Pedro de;2900;2919;;LD1;Fraxinus pennsylvanica;2.8;Ocupada;Regular;Elevada;33.0;6.0;;;;
;;509749;Lineal;4;641;Luján Pedro de;2900;2911;;Exacta;Fraxinus pennsylvanica;2.8;Ocupada;Regular;A Nivel;26.0;8.0;;;;
;;509777;Lineal;4;642;Luján Pedro de;2800;2863;;LD7;Fraxinus pennsylvanica;3;Ocupada;Regular;A Nivel;31.0;8.0;;;;
;;509778;Lineal;4;642;Luján Pedro de;2800;2863;;LD6;Fraxinus pennsylvanica;3;Ocupada;Regular;A Nivel;35.0;9.0;;;;
;;509779;Lineal;4;642;Luján Pedro de;2800;2863;;LD5;Fraxinus pennsylvanica;3;Ocupada;Regular;A Nivel;32.0;8.0;;;;
;;509780;Lineal;4;642;Luján Pedro de;2800;2863;;LD4;Fraxinus pennsylvanica;3;Sobreocupada;Regular;A Nivel;21.0;8.0;;;;
;;509781;Lineal;4;642;Luján Pedro de;2800;2863;;LD3;Fraxinus pennsylvanica;3;Ocupada;Regular;A Nivel;36.0;8.0;;;;
;;509782;Lineal;4;642;Luján Pedro de;2800;2863;;LD2;Fraxinus pennsylvanica;3;Ocupada;Regular;A Nivel;18.0;8.0;;;;
;;509783;Lineal;4;642;Luján Pedro de;2800;2863;;LD1;Fraxinus pennsylvanica;3;Ocupada;Regular;A Nivel;49.0;8.0;;;;
;;509784;Lineal;4;642;Luján Pedro de;2800;2863;;Exacta;Fraxinus pennsylvanica;3;Ocupada;Regular;A Nivel;29.0;8.0;;;;
;;509785;Lineal;4;642;Luján Pedro de;2800;2863;;LA1;Fraxinus pennsylvanica;3;Ocupada;Regular;A Nivel;26.0;8.0;;;;
;;509786;Lineal;4;642;Luján Pedro de;2800;2863;;LA2;Fraxinus pennsylvanica;3;Ocupada;Regular;A Nivel;46.0;8.0;;;;
;;509787;Lineal;4;642;Luján Pedro de;2800;2863;;LA3;Fraxinus pennsylvanica;3;Ocupada;Regular;A Nivel;24.0;8.0;;;;
;;509788;Lineal;4;642;Luján Pedro de;2800;2863;;LA4;Fraxinus pennsylvanica;3;Ocupada;Regular;A Nivel;31.0;8.0;;;;
;;509789;Lineal;4;642;Luján Pedro de;2800;2863;;LA5;Fraxinus pennsylvanica;3;Ocupada;Regular;A Nivel;31.0;8.0;;;;
;;509822;Lineal;4;643;Luján Pedro de;2700;2800;;Exacta;Fraxinus pennsylvanica;3.6;Ocupada;Regular;A Nivel;21.0;5.0;;;;
;;509823;Lineal;4;643;Luján Pedro de;2700;2800;;LD1;Fraxinus pennsylvanica;3.6;Ocupada;Regular;A Nivel;21.0;5.0;;;;
;;509825;Lineal;4;643;Luján Pedro de;2700;2800;;LD3;Fraxinus pennsylvanica;3.6;Ocupada;Regular;A Nivel;37.0;6.0;;;;
;;509826;Lineal;4;643;Luján Pedro de;2700;2800;;LD4;Fraxinus pennsylvanica;3.6;Ocupada;Regular;A Nivel;33.0;6.0;;;;
;;509827;Lineal;4;643;Luján Pedro de;2700;2759;;Exacta;Fraxinus pennsylvanica;3.6;Ocupada;Regular;A Nivel;16.0;5.0;;;;
;;509828;Lineal;4;643;Luján Pedro de;2700;2753;;Exacta;Fraxinus pennsylvanica;3.6;Ocupada;Regular;A Nivel;21.0;5.0;;;;
;;509829;Lineal;4;643;Luján Pedro de;2700;2751;;Exacta;Fraxinus pennsylvanica;3.6;Ocupada;Regular;A Nivel;31.0;6.0;;;;
;;509830;Lineal;4;643;Luján Pedro de;2700;2751;;LD1;Fraxinus pennsylvanica;3.6;Ocupada;Regular;A Nivel;24.0;8.0;;;;
;;509831;Lineal;4;643;Luján Pedro de;2700;2751;;LD2;Fraxinus pennsylvanica;3.6;Ocupada;Regular;A Nivel;35.0;10.0;;;;
;;509832;Lineal;4;643;Luján Pedro de;2700;2751;;LD3;Fraxinus pennsylvanica;3.6;Ocupada;Regular;A Nivel;45.0;10.0;;;;
;;509833;Lineal;4;643;Luján Pedro de;2700;2751;;LD4;Fraxinus pennsylvanica;3.6;Ocupada;Regular;A Nivel;23.0;8.0;;;;
;;509834;Lineal;4;643;Luján Pedro de;2700;2751;;LD5;Fraxinus pennsylvanica;3.6;Ocupada;Regular;A Nivel;32.0;9.0;;;;
;;509835;Lineal;4;643;Luján Pedro de;2700;2751;;LD6;Fraxinus pennsylvanica;3.6;Ocupada;Ochava;A Nivel;33.0;9.0;;;;
;;509868;Lineal;4;643;Melgar;2700;2762;;LA1;Platanus x acerifolia;2.8;Ocupada;Regular;A Nivel;41.0;12.0;;;;
;;510038;Lineal;4;649;San Ricardo;S/N;S/N;;Exacta;Fraxinus pennsylvanica;2.4;Ocupada;Regular;A Nivel;27.0;7.0;;;;
;;510039;Lineal;4;649;San Ricardo;S/N;S/N;;LD1;Fraxinus pennsylvanica;2.4;Ocupada;Regular;A Nivel;29.0;7.0;;;;
;;510072;Lineal;4;650;Algarrobo;1000;1000;;Exacta;Erythrina crista-galli;2.4;Ocupada;Regular;A Nivel;25.0;5.0;;;;
;;510073;Lineal;4;650;Algarrobo;1000;1000;;LA1;Erythrina crista-galli;2.4;Ocupada;Regular;A Nivel;52.0;9.0;;;;
;;510074;Lineal;4;650;Algarrobo;1000;1000;;LA2;Jacaranda mimosifolia;2.4;Ocupada;Regular;A Nivel;25.0;6.0;;;;
;;510075;Lineal;4;650;Algarrobo;1000;1000;;LA3;No identificado;2.4;Ocupada;Regular;A Nivel;24.0;7.0;;;;
;;510078;Lineal;4;650;Algarrobo;1000;1000;;LA6;Fraxinus pennsylvanica;2.4;Ocupada;Regular;A Nivel;68.0;14.0;;;;
;;510079;Lineal;4;650;Algarrobo;1000;1000;;LA7;Fraxinus pennsylvanica;2.4;Ocupada;Regular;A Nivel;42.0;14.0;;;;
;;510080;Lineal;4;650;Algarrobo;1000;1000;;LA8;Jacaranda mimosifolia;2.4;Ocupada;Regular;A Nivel;12.0;6.0;;;;
;;510081;Lineal;4;650;Algarrobo;1000;1000;;LA9;Jacaranda mimosifolia;2.4;Ocupada;Regular;A Nivel;14.0;6.0;;;;
;;510082;Lineal;4;650;Algarrobo;1000;1000;;LA10;No identificado;2.4;Ocupada;Regular;A Nivel;25.0;;;;;
;;510085;Lineal;4;651;San Ricardo;2300;2300;;LA1;Acer negundo;3.2;Ocupada;Regular;A Nivel;28.0;6.0;;;;
;;510086;Lineal;4;651;San Ricardo;2300;2300;;LA2;Acer negundo;3.2;Ocupada;Regular;A Nivel;20.0;6.0;;;;
;;510087;Lineal;4;651;San Ricardo;2300;2300;;LA3;Fraxinus pennsylvanica;3.2;Ocupada;Regular;A Nivel;58.0;9.0;;;;
;;510088;Lineal;4;651;San Ricardo;2300;2300;;LA4;Fraxinus pennsylvanica;3.2;Ocupada;Regular;A Nivel;41.0;9.0;;;;
;;510089;Lineal;4;651;San Ricardo;2300;2300;;LA5;Fraxinus pennsylvanica;3.2;Ocupada;Regular;A Nivel;51.0;5.0;;;;
;;510090;Lineal;4;651;San Ricardo;2300;2300;;LA6;Fraxinus pennsylvanica;3.2;Ocupada;Regular;A Nivel;20.0;7.0;;;;
;;510091;Lineal;4;651;San Ricardo;2300;2300;;LA7;Fraxinus pennsylvanica;3.2;Ocupada;Regular;A Nivel;28.0;9.0;;;;
;;510093;Lineal;4;651;San Ricardo;2300;2300;;LA9;Photinia serrulata;3.2;Ocupada;Regular;A Nivel;19.0;5.0;;;;
;;510095;Lineal;4;651;San Ricardo;2300;2300;;LA11;Photinia serrulata;3.2;Ocupada;Regular;A Nivel;14.0;5.0;;;;
;;510096;Lineal;4;651;San Ricardo;2300;2300;;LA12;Photinia serrulata;3.2;Ocupada;Regular;A Nivel;17.0;5.0;;;;
;;510097;Lineal;4;651;San Ricardo;2300;2300;;LA13;Fraxinus pennsylvanica;3.2;Ocupada;Regular;A Nivel;46.0;7.0;;;;
;;510106;Lineal;4;651;Luján Pedro de;2400;2400;;LA1;Fraxinus pennsylvanica;3.2;Ocupada;Regular;A Nivel;20.0;10.0;;;;
;;510107;Lineal;4;651;Luján Pedro de;2400;2400;;LA2;Fraxinus pennsylvanica;3.2;Ocupada;Regular;A Nivel;52.0;12.0;;;;
;;510109;Lineal;4;651;Luján Pedro de;2400;2400;;LA4;Acer negundo;3.2;Ocupada;Regular;A Nivel;21.0;8.0;;;;
;;510110;Lineal;4;651;Luján Pedro de;2400;2400;;LA5;Fraxinus pennsylvanica;3.2;Ocupada;Regular;A Nivel;36.0;9.0;;;;
;;510111;Lineal;4;651;Luján Pedro de;2400;2400;;LA6;Fraxinus pennsylvanica;3.2;Ocupada;Regular;A Nivel;30.0;9.0;;;;
;;510112;Lineal;4;651;Luján Pedro de;2400;2400;;LA7;Fraxinus pennsylvanica;3.2;Ocupada;Regular;A Nivel;39.0;10.0;;;;
;;510113;Lineal;4;651;Luján Pedro de;2400;2400;;LA8;Fraxinus pennsylvanica;3.2;Ocupada;Regular;A Nivel;26.0;9.0;;;;
;;510130;Lineal;4;652;Luján Pedro de;2500;2515;;la1;Fraxinus pennsylvanica;4;Ocupada;Regular;A Nivel;44.0;10.0;;;;
;;510131;Lineal;4;652;Luján Pedro de;2500;2515;;la2;Fraxinus pennsylvanica;4;Ocupada;Regular;A Nivel;33.0;10.0;;;;
